t,u,v,i,j
0.924045,0.276539,-0.00292571,182,100
0.927136,0.276375,-0.00292461,182,100
0.930226,0.276211,-0.00292353,182,100
0.933317,0.276046,-0.00292246,182,100
0.936407,0.275881,-0.00292141,182,100
0.939497,0.275716,-0.00292038,182,100
0.942588,0.275551,-0.00291936,182,100
0.945678,0.275386,-0.00291836,182,100
0.948769,0.275222,-0.00291737,182,100
0.951859,0.275057,-0.00291639,182,100
0.95495,0.274892,-0.00291542,182,100
0.95804,0.274728,-0.00291447,182,100
0.961131,0.274564,-0.00291353,182,100
0.964221,0.274399,-0.0029126,182,100
0.967312,0.274235,-0.00291167,182,100
0.970402,0.27407,-0.00291076,182,100
0.973492,0.273906,-0.00290985,182,100
0.976583,0.273742,-0.00290895,182,100
0.979673,0.273578,-0.00290806,182,100
0.982764,0.273415,-0.00290717,182,100
0.985854,0.273252,-0.0029063,182,100
0.988945,0.273089,-0.00290542,182,100
0.992035,0.272927,-0.00290455,182,100
0.995126,0.272765,-0.00290369,182,100
0.998216,0.272603,-0.00290282,182,100
1.00131,0.272442,-0.00290197,182,100
1.0044,0.272281,-0.00290111,182,100
1.00749,0.27212,-0.00290026,182,100
1.01058,0.27196,-0.0028994,182,100
1.01367,0.2718,-0.00289855,182,100
1.01676,0.27164,-0.0028977,182,100
1.01985,0.271481,-0.00289685,182,100
1.02294,0.271323,-0.002896,182,100
1.02603,0.271165,-0.00289515,182,100
1.02912,0.271008,-0.0028943,182,100
1.03221,0.270852,-0.00289345,182,100
1.0353,0.270695,-0.0028926,182,100
1.03839,0.27054,-0.00289174,182,100
1.04148,0.270385,-0.00289089,182,100
1.04457,0.27023,-0.00289003,182,100
1.04766,0.270076,-0.00288917,182,100
1.05075,0.269923,-0.0028883,182,100
1.05384,0.26977,-0.00288743,182,100
1.05693,0.269618,-0.00288656,182,100
1.06003,0.269467,-0.00288569,182,100
1.06312,0.269316,-0.00288481,182,100
1.06621,0.269167,-0.00288393,182,100
1.0693,0.269017,-0.00288304,182,100
1.07239,0.268869,-0.00288215,182,100
1.07548,0.268721,-0.00288125,182,100
1.07857,0.268574,-0.00288035,182,100
1.08166,0.268427,-0.00287944,182,100
1.08475,0.268282,-0.00287853,182,100
1.08784,0.268137,-0.00287762,182,100
1.09093,0.267992,-0.0028767,182,100
1.09402,0.267849,-0.00287577,182,100
1.09711,0.267706,-0.00287484,182,100
1.1002,0.267564,-0.0028739,182,100
1.10329,0.267422,-0.00287296,182,100
1.10638,0.267282,-0.00287201,182,100
1.10947,0.267142,-0.00287106,182,100
1.11256,0.267003,-0.00287011,182,100
1.11565,0.266865,-0.00286914,182,100
1.11874,0.266727,-0.00286818,182,100
1.12183,0.266591,-0.00286721,182,100
1.12492,0.266455,-0.00286623,182,100
1.12802,0.26632,-0.00286525,182,100
1.13111,0.266185,-0.00286426,182,100
1.1342,0.266052,-0.00286328,182,100
1.13729,0.265919,-0.00286228,182,100
1.14038,0.265787,-0.00286128,182,100
1.14347,0.265656,-0.00286028,182,100
1.14656,0.265525,-0.00285928,182,100
1.14965,0.265395,-0.00285827,182,100
1.15274,0.265267,-0.00285726,182,100
1.15583,0.265139,-0.00285625,182,100
1.15892,0.265011,-0.00285523,182,100
1.16201,0.264885,-0.00285422,182,100
1.1651,0.264759,-0.0028532,182,100
1.16819,0.264634,-0.00285218,182,100
1.17128,0.26451,-0.00285116,182,100
1.17437,0.264387,-0.00285013,182,100
1.17746,0.264264,-0.00284911,182,100
1.18055,0.264143,-0.00284809,182,100
1.18364,0.264022,-0.00284706,182,100
1.18673,0.263901,-0.00284604,182,100
1.18982,0.263782,-0.00284502,182,100
1.19291,0.263663,-0.002844,182,100
1.19601,0.263545,-0.00284298,182,100
1.1991,0.263428,-0.00284196,182,100
1.20219,0.263312,-0.00284095,182,100
1.20528,0.263196,-0.00283993,182,100
1.20837,0.263082,-0.00283892,182,100
1.21146,0.262968,-0.00283792,182,100
1.21455,0.262854,-0.00283692,182,100
1.21764,0.262742,-0.00283592,182,100
1.22073,0.26263,-0.00283492,182,100
1.22382,0.262519,-0.00283394,182,100
1.22691,0.262409,-0.00283295,182,100
1.23,0.262299,-0.00283197,182,100
1.23309,0.262191,-0.002831,182,100
1.23618,0.262083,-0.00283003,182,100
1.23927,0.261975,-0.00282907,182,100
1.24236,0.261869,-0.00282812,182,100
1.24545,0.261763,-0.00282718,182,100
1.24854,0.261658,-0.00282624,182,100
1.25163,0.261554,-0.00282531,182,100
1.25472,0.26145,-0.00282438,182,100
1.25781,0.261347,-0.00282347,182,100
1.2609,0.261245,-0.00282256,182,100
1.26399,0.261144,-0.00282167,182,100
1.26709,0.261043,-0.00282078,182,100
1.27018,0.260943,-0.0028199,182,100
1.27327,0.260844,-0.00281903,182,100
1.27636,0.260745,-0.00281817,182,100
1.27945,0.260647,-0.00281732,182,100
1.28254,0.26055,-0.00281648,182,100
1.28563,0.260453,-0.00281566,182,100
1.28872,0.260357,-0.00281484,182,100
1.29181,0.260262,-0.00281403,182,100
1.2949,0.260168,-0.00281323,182,100
1.29799,0.260074,-0.00281244,182,100
1.30108,0.259981,-0.00281167,182,100
1.30417,0.259888,-0.0028109,182,100
